commit,old_sign,new_sign
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Float value)","public void set(PreparedStatement st, int index, Float value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Integer value)","public void set(PreparedStatement st, int index, Integer value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, JDateTime value)","public void set(PreparedStatement st, int index, JDateTime value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Long value)","public void set(PreparedStatement st, int index, Long value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Short value)","public void set(PreparedStatement st, int index, Short value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Array value)","public void set(PreparedStatement st, int index, Array value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Date value)","public void set(PreparedStatement st, int index, Date value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Ref value)","public void set(PreparedStatement st, int index, Ref value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void storeValue(PreparedStatement st, int index, Object value)","public void storeValue(PreparedStatement st, int index, Object value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, String value)","public void set(PreparedStatement st, int index, String value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Time value)","public void set(PreparedStatement st, int index, Time value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Timestamp value)","public void set(PreparedStatement st, int index, Timestamp value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, URL value)","public void set(PreparedStatement st, int index, URL value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, Boo value)","public void set(PreparedStatement st, int index, Boo value, int dbSqlType)"
aeab3d57103793b4f535cbad158f8826eb5207f6diff,"public void set(PreparedStatement st, int index, FooWeight value)","public void set(PreparedStatement st, int index, FooWeight value, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"protected Object readColumnValue(int colNdx, Class destinationType, Class<? extends SqlType> sqlTypeClass)","protected Object readColumnValue(int colNdx, Class destinationType, Class<? extends SqlType> sqlTypeClass, int columnDbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public BigDecimal get(ResultSet rs, int index)","public BigDecimal get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public BigInteger get(ResultSet rs, int index)","public BigInteger get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Blob get(ResultSet rs, int index)","public Blob get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Boolean get(ResultSet rs, int index)","public Boolean get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public byte[] get(ResultSet rs, int index)","public byte[] get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Byte get(ResultSet rs, int index)","public Byte get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Clob get(ResultSet rs, int index)","public Clob get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Date get(ResultSet rs, int index)","public Date get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Double get(ResultSet rs, int index)","public Double get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Float get(ResultSet rs, int index)","public Float get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Integer get(ResultSet rs, int index)","public Integer get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public JDateTime get(ResultSet rs, int index)","public JDateTime get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Long get(ResultSet rs, int index)","public Long get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Short get(ResultSet rs, int index)","public Short get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Array get(ResultSet rs, int index)","public Array get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Date get(ResultSet rs, int index)","public Date get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Ref get(ResultSet rs, int index)","public Ref get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public String get(ResultSet rs, int index)","public String get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Time get(ResultSet rs, int index)","public Time get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Timestamp get(ResultSet rs, int index)","public Timestamp get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public URL get(ResultSet rs, int index)","public URL get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public Boo get(ResultSet rs, int index)","public Boo get(ResultSet rs, int index, int dbSqlType)"
fe138f573ed4e8ad4ef8b22da523b96aa1a546ccdiff,"public FooWeight get(ResultSet rs, int index)","public FooWeight get(ResultSet rs, int index, int dbSqlType)"
e292ad71820bf6dcdbf4e00144cd1111bdc6a81ediff,"static DbEntityColumnDescriptor resolveColumnDescriptors(Field field, boolean isAnnotated)","static DbEntityColumnDescriptor resolveColumnDescriptors(DbEntityDescriptor ded, Field field, boolean isAnnotated)"
eb211421567ba4fff59a0240c3145c84df8bd1f7diff,"protected Object readColumnValue(int colNdx, Class destinationType)","protected Object readColumnValue(int colNdx, Class destinationType, Class<? extends SqlType> sqlTypeClass)"
eb211421567ba4fff59a0240c3145c84df8bd1f7diff,"public void addParameter(String name, Object value)","public void addParameter(String name, Object value, DbEntityColumnDescriptor dec)"
eb211421567ba4fff59a0240c3145c84df8bd1f7diff,"protected void defineParameter(StringBuilder query, String name, Object value)","protected void defineParameter(StringBuilder query, String name, Object value, DbEntityColumnDescriptor dec)"
5d5c5bcf166ab938335e0a44cfc4b339cbb1b4fcdiff,protected ProxettaCreator accept(ClassReader cr),"protected ProxettaCreator accept(ClassReader cr, String reqProxyClassName)"
5d5c5bcf166ab938335e0a44cfc4b339cbb1b4fcdiff,public ProxettaCreator accept(InputStream in),"public ProxettaCreator accept(InputStream in, String reqProxyClassName)"
5d5c5bcf166ab938335e0a44cfc4b339cbb1b4fcdiff,public ProxettaCreator accept(String targetName),"public ProxettaCreator accept(String targetName, String reqProxyClassName)"
5d5c5bcf166ab938335e0a44cfc4b339cbb1b4fcdiff,public ProxettaCreator accept(Class target),"public ProxettaCreator accept(Class target, String reqProxyClassName)"
dfb9eddf220ab23abeca4e379355281b207edb04diff,"protected String populateForm(String html, ValueResolver resolver)","protected String populateForm(String html, Closure<String, Object> resolver)"
dbf859979cd7ffdc7785e247f0d5c6c28b57978ediff,"static void copyParamsToAttributes(HttpServletRequest servletRequest, boolean ignoreEmptyRequestParams)","static void copyParamsToAttributes(HttpServletRequest servletRequest, boolean trimParams, boolean treatEmptyParamsAsNull, boolean ignoreEmptyRequestParams)"
250ada18bfeb063a5a83b685ae3fcf09dbb14114diff,"protected void invokeInitMethods(Object bean, BeanDefinition def)","protected void invokeInitMethods(Object bean, BeanDefinition def, Boolean fireFirstOff)"
250ada18bfeb063a5a83b685ae3fcf09dbb14114diff,"protected void registerPetiteInitMethods(String beanName, String... methodNames)","protected void registerPetiteInitMethods(String beanName, String[] beforeMethodNames, String[] afterMethodNames)"
e5e743f4221811be79622244e2f2dcccd28ca485diff,public JtxTransaction requestTransaction(JtxTransactionMode mode),"public JtxTransaction requestTransaction(JtxTransactionMode mode, Object context)"
e5e743f4221811be79622244e2f2dcccd28ca485diff,public JtxTransaction maybeRequestTransaction(JtxTransactionMode txMode),"public JtxTransaction maybeRequestTransaction(JtxTransactionMode txMode, Object context)"
